R,F,M,C,cluster
16.77,2,70.3,0.0,1
12.03,2,68.47,0.0,1
16.2,2,21.08,0.0,1
8.17,2,51.98,0.0,1
12.7,2,10.51,0.0,1
13.83,3,46.17,0.0,1
13.83,2,64.77,0.0,1
16.2,2,66.78,0.0,1
13.23,2,75.64,0.01011555,1
10.3,4,84.69,0.0,1
14.83,2,64.95,0.0,1
12.63,2,80.73,0.0,1
14.1,2,49.88,0.0,1
10.4,4,162.92,0.033942775,1
13.13,2,47.74,0.0,1
9.77,2,25.9,0.0,1
10.8,3,337.96,0.0,1
12.7,2,99.4,0.0,1
8.83,2,56.97,0.0,1
10.63,2,79.95,0.05768295,1
11.8,2,66.97,0.0,1
12.47,2,93.04,0.0,1
9.43,2,39.98,0.0,1
8.97,2,635.96,0.0,0
11.83,2,90.63,0.0,1
15.9,2,34.39,0.0,1
14.43,2,76.98,0.0,1
11.7,2,31.97,0.0,1
8.2,2,57.98,0.0,1
14.57,3,46.49,0.0,1
11.33,2,27.98,0.0,1
13.87,3,72.96,0.05649896667000001,1
16.57,3,59.91,0.0,1
16.67,2,35.97,0.0,1
11.73,2,49.06,0.0,1
11.7,2,49.29,0.0,1
8.17,2,31.98,0.045480400000000004,1
13.97,2,28.98,0.04548635,1
10.5,2,69.35,0.0,1
16.17,2,165.97,0.0,1
13.33,2,30.18,0.0,1
12.07,3,87.95,0.0,1
9.47,2,29.58,0.0,1
12.77,2,434.96,0.0,1
9.83,2,19.98,0.0,1
11.1,2,27.98,0.0,1
9.0,2,115.97,0.042994199999999996,1
15.37,3,78.08,0.0,1
9.63,2,56.18,0.06088395,1
16.0,2,90.08,0.0,1
11.17,2,45.55,0.0,1
12.07,2,45.13,0.0,1
12.63,2,29.97,0.0,1
10.53,2,77.97,0.0,1
13.13,2,296.43,0.0,1
16.37,2,14.48,0.0,1
16.13,2,114.95,0.0,1
13.17,3,395.91,0.0,1
11.3,2,75.36,0.0,1
16.03,2,46.98,0.0,1
9.83,2,43.98,0.0,1
14.53,2,203.13,0.0,1
12.33,3,192.99,0.0,1
10.57,2,62.98,0.0,1
16.23,2,131.88,0.0,1
12.9,2,56.98,0.0,1
10.63,2,55.98,0.0,1
12.7,2,76.97,0.0,1
16.63,2,119.8,0.0,1
11.3,2,45.98,0.0,1
12.93,2,165.92,0.04547445,1
16.13,2,23.83,0.0,1
17.03,3,30.94,0.0,1
16.5,2,129.78,0.0,1
9.37,2,64.98,0.09093465,1
13.67,3,386.96,0.03571683333,1
13.33,2,45.45,0.021098099999999998,1
14.97,2,173.97,0.0,1
15.57,4,589.96,0.0,1
16.4,2,363.31,0.0,1
15.33,2,40.46,0.0,1
17.03,2,45.98,0.0,1
16.9,2,53.98,0.0,1
14.9,2,65.94,0.0,1
13.07,2,45.98,0.0,1
8.8,2,119.98,0.0,1
14.33,3,62.24,0.0,1
8.87,2,47.97,0.0,1
16.33,2,79.98,0.0,1
16.53,3,163.95,0.0,1
11.57,2,425.31,0.0,1
11.6,2,43.98,0.0,1
11.47,3,104.97,0.00396076667,1
15.97,2,298.97,0.0,1
13.53,2,181.98,0.0,1
13.07,2,83.98,0.0,1
12.4,3,46.7,0.0,1
15.27,2,64.43,0.0,1
15.47,2,32.98,0.0,1
11.8,2,581.73,0.0,1
9.97,2,13.98,0.0,1
13.6,2,41.23,0.0,1
13.47,2,199.98,0.0,1
11.1,2,31.98,0.0238237,1
9.8,2,169.98,0.11446885,1
11.6,2,144.89,0.0,1
13.83,2,45.38,0.0,1
17.07,2,397.14,0.0,1
12.73,2,27.98,0.0,1
8.03,2,36.95,0.0,1
15.83,2,131.52,0.0,1
9.63,2,36.79,0.0,1
10.2,2,86.98,0.0,1
10.37,2,81.35,0.0,1
10.07,2,60.29,0.0,1
10.33,2,115.82,0.0,1
11.97,2,242.77,0.0,1
9.2,2,27.98,0.0,1
9.17,2,75.98,0.0,1
11.2,2,85.97,0.020842,1
12.1,2,92.48,0.0,1
16.03,2,89.53,0.0,1
16.27,2,61.97,0.0,1
13.8,2,34.97,0.0,1
17.1,2,285.96,0.0,1
8.6,2,310.07,0.0,0
16.93,2,345.59,0.0,1
8.27,2,49.78,0.0,1
14.63,2,14.78,0.0,1
13.4,2,59.96,0.0,1
13.6,2,135.98,0.0,1
14.67,2,59.4,0.0,1
15.77,3,190.97,0.00542286667,1
9.57,3,126.91,0.0,1
13.83,2,49.88,0.0,1
13.3,2,53.98,0.0,1
9.53,2,57.15,0.0,1
12.13,2,42.0,0.04545455,1
9.2,2,128.68,0.0,1
8.87,2,143.48,0.0914175,1
9.53,2,104.98,0.02381205,1
11.77,2,78.97,0.0,1
8.1,2,125.95,0.0,0
9.13,2,179.95,0.0,1
13.8,3,227.12,0.0,1
12.1,2,61.98,0.0,1
11.7,2,62.92,0.0,1
9.03,2,71.5,0.0,1
10.2,2,32.98,0.0,1
12.07,2,30.35,0.0,1
8.6,2,77.11,0.0,1
10.53,2,27.98,0.0,1
16.53,2,109.13,0.0,1
11.93,2,21.66,0.0,1
15.83,2,23.11,0.0,1
15.23,2,91.91,0.0,1
8.03,2,51.98,0.0,1
10.03,2,129.98,0.0,1
15.43,2,121.32,0.0,1
8.57,2,33.97,0.08337195,1
9.77,2,63.56,0.0,1
15.93,2,43.46,0.0,1
15.47,2,72.98,0.0,1
10.57,3,79.11,0.0,1
14.77,2,96.37,0.0,1
16.67,2,59.98,0.0,1
11.2,2,106.16,0.0,1
12.57,2,47.98,0.0,1
8.33,2,73.78,0.0,1
14.43,2,71.28,0.0,1
14.57,2,41.98,0.0,1
10.37,2,119.96,0.0,1
10.1,2,84.12,0.0,1
9.47,2,105.97,0.0,1
10.8,2,37.96,0.0,1
12.5,2,138.83,0.0238334,1
11.47,2,418.99,0.0,1
8.63,2,54.98,0.0,1
14.43,2,42.76,0.0,1
12.47,2,37.44,0.0,1
11.8,2,205.03,0.0,1
8.97,4,118.25,0.0952583,1
10.33,2,84.92,0.0,1
9.13,2,70.29,0.0,1
12.9,2,60.23,0.0,1
13.47,2,43.9,0.0,1
8.43,2,46.98,0.0,1
14.63,2,403.18,0.0,1
8.43,2,285.98,0.0,0
12.1,2,69.33,0.0,1
9.27,2,26.98,0.0,1
10.97,2,151.98,0.0,1
14.4,2,105.93,0.0,1
13.63,2,197.96,0.0,1
12.0,2,32.67,0.0,1
7.97,2,51.98,0.0,1
12.3,2,99.98,0.02830725,1
13.0,5,390.94,0.043078399999999996,1
9.3,2,120.88,0.0,1
13.87,2,40.84,0.0,1
9.9,4,112.96,0.0,1
9.67,2,29.98,0.0,1
9.67,2,43.9,0.0,1
16.63,2,519.98,0.0,1
13.4,2,29.12,0.0,1
8.93,2,71.93,0.0,1
15.13,2,25.8,0.0,1
16.6,2,28.1,0.0,1
15.1,2,168.48,0.0,1
14.47,2,162.19,0.0,1
13.3,2,43.92,0.04540435,1
15.6,2,100.57,0.0,1
9.03,3,95.0,0.0,1
16.4,2,22.6,0.0,1
14.13,2,67.96,0.0,1
9.2,2,62.18,0.06526900000000001,1
15.03,2,37.95,0.0,1
8.0,2,47.95,0.0,1
11.53,2,205.42,0.0,1
15.83,2,32.32,0.0,1
8.73,2,67.3,0.0,1
8.03,2,67.96,0.0,1
13.93,2,172.76,0.01363435,1
12.67,2,216.98,0.0,1
11.23,3,76.96,0.0,1
8.33,2,72.4,0.0,1
16.23,2,144.12,0.0,1
9.73,2,29.98,0.0,1
14.73,2,45.12,0.0,1
11.77,2,140.34,0.0087166,1
8.97,2,59.98,0.0,1
16.2,2,21.78,0.0,1
9.37,2,31.98,0.0,1
11.93,2,78.98,0.0,1
9.93,2,26.04,0.0,1
9.7,2,25.9,0.0,1
16.43,2,31.18,0.0,1
11.0,2,354.29,0.0,1
12.13,2,264.49,0.0,1
8.1,2,61.43,0.0,1
7.97,2,40.4,0.0,1
16.8,2,72.37,0.0,1
8.47,2,117.96,0.03373685,1
9.83,2,125.32,0.0,1
16.9,2,79.98,0.0,1
11.0,2,62.97,0.0,1
15.87,2,25.99,0.0,1
16.57,2,153.28,0.0,1
11.27,2,245.44,0.0,1
14.5,2,80.55,0.0,1
11.13,3,128.96,0.0,1
8.27,2,104.1,0.0,1
11.17,2,81.66,0.0,1
8.5,2,44.98,0.0,1
10.1,2,92.27,0.00585425,1
9.23,3,103.97,0.0,1
8.27,2,89.72,0.0,1
13.67,2,119.98,0.0476266,1
8.73,2,34.98,0.0909573,1
16.93,2,315.35,0.0,1
14.27,2,146.03,0.0,1
14.47,2,113.42,0.0,1
16.07,2,215.97,0.060248199999999995,1
13.27,2,40.26,0.0,1
8.53,2,57.83,0.0,1
13.9,2,82.98,0.0,1
10.53,2,39.98,0.0,1
14.07,2,26.56,0.0,1
14.3,2,39.98,0.10004,1
16.3,4,66.22,0.0,1
15.0,2,42.12,0.0,1
10.17,2,268.99,0.0,1
12.17,2,69.98,0.0,1
14.8,2,21.98,0.0,1
8.6,2,182.49,0.0,1
9.8,5,92.03,0.0,1
10.43,3,107.87,0.013560166669999998,1
17.13,2,15.98,0.0,1
15.73,2,106.76,0.0,1
12.7,2,31.58,0.0,1
9.47,2,103.6,0.0,1
9.33,3,91.97,0.0,1
14.27,2,91.84,0.039267,1
13.17,2,128.91,0.0,1
14.87,2,198.39,0.0,1
8.53,2,239.98,0.0,0
13.47,2,40.88,0.0,1
10.63,2,19.99,0.0,1
8.87,2,24.98,0.0,1
12.07,2,27.98,0.0,1
15.6,2,63.08,0.0,1
13.43,2,85.97,0.0,1
12.77,2,30.58,0.0,1
9.6,2,33.98,0.0,1
9.8,2,122.96,0.0,1
12.87,2,41.98,0.0,1
9.97,3,134.94,0.0,1
14.3,2,166.98,0.0,1
9.97,2,129.98,0.045460900000000005,1
10.27,2,72.69,0.0,1
10.53,2,24.98,0.0,1
16.33,2,82.95,0.039057,1
13.7,2,42.94,0.0,1
14.7,2,73.32,0.0,1
13.07,3,215.72,0.0071162,1
10.5,2,131.97,0.0,1
14.23,2,53.97,0.0,1
15.3,2,30.98,0.0,1
11.8,2,88.97,0.0,1
8.77,2,122.2,0.0,1
11.37,2,63.98,0.02381435,1
14.57,2,83.68,0.0,1
14.03,2,552.6,0.0,1
14.6,3,77.94,0.0,1
14.47,2,38.01,0.0,1
14.4,2,85.98,0.0,1
13.9,2,309.94,0.0,1
9.27,4,288.49,0.0,1
11.9,2,399.98,0.0,1
10.5,4,96.99,0.0773039,1
16.4,2,46.86,0.0,1
16.27,2,156.26,0.0,1
14.63,3,656.96,0.0,1
16.53,5,175.9,0.0,1
11.17,2,114.44,0.0,1
15.5,2,338.37,0.0,1
13.3,3,65.1,0.0,1
16.17,2,59.98,0.0,1
15.0,2,35.96,0.0,1
9.8,2,95.51,0.0,1
11.6,2,81.98,0.0,1
11.67,2,129.98,0.0,1
8.33,2,63.98,0.0,1
8.57,2,109.98,0.0454589,1
10.03,2,79.98,0.0,1
10.0,2,35.2,0.0,1
12.6,3,59.96,0.0,1
10.67,2,109.1,0.0,1
8.57,3,118.97,0.0,1
9.83,2,219.97,0.0,1
16.67,2,97.36,0.0,1
13.43,2,210.73,0.01597465,1
14.8,2,64.96,0.0,1
11.73,2,71.98,0.0,1
13.33,3,40.62,0.0,1
12.93,2,110.98,0.0,1
14.9,2,49.44,0.0,1
16.8,2,199.48,0.0,1
9.47,2,57.98,0.0,1
12.53,2,45.98,0.0,1
14.1,2,29.98,0.0,1
13.8,2,232.67,0.0,1
10.3,2,124.1,0.0,1
12.7,2,108.76,0.0,1
8.77,2,64.57,0.0454807,1
14.0,2,31.98,0.0,1
9.53,2,73.98,0.0,1
13.53,2,43.98,0.09094695,1
13.3,2,56.98,0.0,1
10.53,2,519.98,0.0,1
11.93,2,48.77,0.0,1
9.73,2,49.52,0.074129,1
12.93,2,65.33,0.0,1
15.3,2,220.55,0.0,1
10.8,2,29.54,0.0,1
9.63,2,139.9,0.0,1
11.93,2,94.52,0.0,1
17.0,2,81.68,0.0,1
10.4,2,30.01,0.0,1
13.4,2,210.28,0.0,1
11.43,2,32.36,0.0,1
15.2,2,120.07,0.0,1
13.0,2,103.98,0.10000919999999999,1
15.03,2,62.36,0.0,1
8.8,2,55.08,0.0,1
15.77,2,33.98,0.0,1
16.77,2,209.54,0.0,1
16.8,2,21.08,0.0,1
15.3,3,319.97,0.0,1
