R,F,M,C,cluster
11.33,2,79.44,0.0,1
13.33,3,581.18,0.0,1
10.33,2,59.08,0.0,1
8.8,2,89.25,0.0,1
13.93,2,38.18,0.0,1
12.0,2,183.97,0.0,1
12.8,2,101.8,0.0,1
11.8,2,175.98,0.0,1
16.13,2,70.99,0.0,1
11.33,3,140.94,0.0,1
16.03,2,20.58,0.0,1
12.3,2,48.0,0.0,1
8.63,2,53.98,0.0,1
16.17,2,279.98,0.07576215,1
10.33,2,103.54,0.0,1
9.47,3,161.66,0.0,1
8.4,2,135.78,0.0,1
12.1,2,99.95,0.1087193,1
13.37,3,333.08,0.0,1
15.9,2,79.98,0.0,1
12.8,2,63.18,0.0,1
11.77,2,51.98,0.0,1
10.5,2,123.94,0.0,1
13.1,2,267.1,0.0,1
9.0,2,72.96,0.0,1
11.87,2,45.98,0.0,1
16.33,2,70.3,0.0,1
16.43,2,29.97,0.0,1
9.97,3,26.5,0.0,1
12.63,3,195.92,0.0,1
10.77,3,53.12,0.0,1
12.03,3,181.93,0.0,1
11.0,2,78.34,0.0,1
15.43,3,87.97,0.0,1
10.6,2,68.31,0.0,1
16.47,2,27.06,0.0,1
14.4,2,179.98,0.04545915,1
15.87,2,17.98,0.0,1
14.77,3,383.46,0.0,1
12.53,2,81.48,0.0,1
16.63,2,40.97,0.0,1
10.57,2,165.78,0.0,1
15.23,2,201.98,0.0,1
15.93,2,82.96,0.0,1
12.57,2,35.33,0.0,1
14.23,2,61.93,0.0,1
13.0,2,26.98,0.0,1
13.5,4,49.16,0.0,1
9.23,2,25.98,0.0,1
8.13,2,21.18,0.0,1
12.63,2,11.98,0.0,1
14.87,2,117.98,0.0,1
15.93,2,48.52,0.0,1
10.83,2,135.0,0.1029879,1
12.7,2,45.98,0.0,1
15.27,3,73.58,0.0,1
12.9,2,87.18,0.0,1
16.4,2,53.87,0.0,1
14.27,2,34.97,0.0194686,1
16.37,2,117.18,0.0,1
9.73,2,84.24,0.0,1
16.53,2,42.97,0.0,1
14.33,2,211.94,0.0,1
14.97,2,103.98,0.0,1
12.67,2,187.24,0.0,1
9.8,2,45.55,0.0,1
14.73,2,185.62,0.0,1
17.17,2,99.98,0.0,1
14.23,2,160.05,0.0,1
11.7,3,86.31,0.0,1
13.33,2,133.98,0.0238129,1
8.2,3,98.96,0.0,0
15.67,2,13.98,0.0,1
10.0,2,80.98,0.0,1
10.63,2,86.97,0.0,1
12.23,2,65.52,0.0,1
10.1,2,33.91,0.0,1
12.57,2,39.98,0.02382085,1
15.33,2,54.62,0.0,1
14.93,2,161.82,0.0,1
8.03,2,74.97,0.0,1
11.6,5,95.33,0.0,1
13.57,2,144.02,0.0,1
8.87,5,147.91,0.0,1
14.9,2,43.99,0.0,1
13.47,2,304.48,0.0,1
12.5,2,39.98,0.0,1
14.93,2,53.06,0.0,1
12.13,2,59.96,0.0,1
11.73,4,32.36,0.0,1
14.57,2,123.95,0.0109553,1
11.4,2,59.36,0.0,1
16.03,2,82.62,0.0,1
9.83,2,60.29,0.0,1
8.3,2,45.97,0.0,1
11.63,2,117.97,0.03135725,1
9.23,3,60.95,0.0,1
13.5,2,28.45,0.0,1
8.4,2,79.95,0.0,1
14.93,2,58.42,0.0,1
8.97,3,283.96,0.0,1
9.87,3,283.87,0.0,1
16.83,3,341.62,0.0,1
11.43,2,32.88,0.0,1
13.5,2,164.94,0.01271795,1
10.4,2,56.82,0.0,1
9.77,2,79.97,0.04546905,1
10.77,2,59.08,0.0,1
15.2,2,56.98,0.0,1
14.63,2,57.7,0.0,1
11.2,2,66.98,0.0,1
10.73,2,30.06,0.0,1
9.63,2,97.65,0.0,1
12.13,2,42.31,0.0,1
10.5,2,109.26,0.0,1
12.63,2,67.48,0.0,1
14.1,2,72.04,0.0,1
10.73,2,324.89,0.0,1
8.8,2,106.28,0.0,1
10.3,2,45.98,0.0,1
9.6,2,134.97,0.11924805,1
9.0,2,61.98,0.0,1
14.8,2,89.86,0.0,1
15.17,5,44.51,0.0,1
8.53,2,39.98,0.0,1
10.93,2,85.22,0.0,1
15.83,2,259.98,0.0,1
16.3,2,34.97,0.0843531,1
8.53,2,236.77,0.0,1
12.73,2,213.88,0.0,1
9.97,2,92.18,0.0,1
16.87,2,27.53,0.0,1
12.5,2,62.02,0.0,1
10.83,2,37.21,0.0,1
8.3,2,44.94,0.0,1
8.83,2,116.96,0.06946375,1
10.13,2,79.66,0.0,1
8.3,2,64.95,0.0,1
15.97,2,50.88,0.0,1
8.8,2,481.58,0.0,0
15.8,2,57.29,0.0,1
10.3,4,272.63,0.0,1
11.47,2,64.31,0.0,1
13.8,3,105.37,0.0,1
13.07,2,23.98,0.0,1
10.1,2,32.57,0.0,1
13.37,3,221.95,0.0,1
10.73,3,120.95,0.0,1
8.47,2,100.69,0.0,1
15.7,2,308.0,0.0238226,1
14.4,2,63.75,0.0,1
17.13,2,82.59,0.0,1
16.27,2,61.71,0.0,1
9.1,2,61.44,0.0,1
16.23,3,65.34,0.0,1
9.4,2,95.24,0.0,1
9.23,2,63.43,0.0,1
16.83,2,37.22,0.0,1
9.0,2,190.36,0.0,1
11.5,2,21.46,0.0,1
10.23,2,63.42,0.0,1
9.43,2,58.05,0.0,1
9.27,2,124.4,0.0,1
11.5,2,60.5,0.0,1
13.13,3,111.96,0.0,1
10.67,3,336.67,0.0,1
9.67,2,19.48,0.0,1
13.17,2,97.98,0.0,1
11.57,2,140.43,0.0,1
15.87,2,213.38,0.0,1
8.03,2,75.7,0.0,1
14.4,4,154.52,0.0,1
12.23,2,279.89,0.0,1
16.43,2,510.61,0.0,1
11.13,2,84.24,0.0,1
13.9,2,97.74,0.0,1
10.5,4,36.93,0.022606375,1
10.8,2,44.78,0.0,1
14.4,2,159.07,0.0,1
10.53,2,175.98,0.06903279999999999,1
15.87,2,78.67,0.0,1
9.07,5,371.62,0.0,0
13.57,2,89.98,0.0,1
10.07,2,25.98,0.0,1
15.8,2,113.23,0.0,1
11.23,3,80.07,0.0,1
8.57,3,56.61,0.0,1
11.47,2,97.05,0.0,1
10.13,2,287.2,0.0,1
15.83,2,13.59,0.0,1
8.47,2,102.97,0.0237572,1
11.87,2,31.25,0.0,1
16.23,2,46.86,0.0,1
9.47,3,353.9,0.0544455,1
11.27,2,119.15,0.0,1
13.9,2,15.57,0.0,1
9.6,2,219.06,0.0,1
14.9,2,37.98,0.0,1
14.17,3,196.94,0.0,1
11.93,3,400.95,0.0697677,1
15.03,2,45.7,0.0,1
9.43,2,75.18,0.0,1
11.77,2,65.98,0.0,1
10.9,2,38.88,0.0,1
13.77,2,111.09,0.0,1
10.57,2,38.98,0.0,1
9.27,2,51.75,0.0,1
8.47,2,45.0,0.0,1
10.4,2,333.96,0.0,1
11.9,2,110.75,0.0,1
12.8,2,35.48,0.0,1
13.2,2,19.86,0.0,1
11.2,2,224.42,0.0,1
12.17,3,61.96,0.0,1
11.83,2,139.3,0.0,1
16.33,2,82.32,0.0,1
16.87,2,68.23,0.0,1
10.43,3,38.97,0.0,1
9.7,2,287.05,0.0,1
9.47,2,59.98,0.0,1
15.1,2,30.22,0.0,1
10.57,2,47.98,0.0,1
13.93,2,161.94,0.0,1
11.5,2,59.98,0.0,1
16.7,2,79.06,0.0,1
14.17,2,37.94,0.0,1
16.7,2,117.18,0.0,1
12.27,2,72.97,0.0,1
8.33,2,96.24,0.0,1
10.87,2,75.89,0.0,1
9.7,3,66.58,0.0,1
8.57,2,54.3,0.0,1
15.93,2,245.98,0.0,1
14.13,3,100.94,0.0,1
10.03,2,429.97,0.0,1
15.43,2,36.97,0.0,1
8.8,2,65.06,0.0,1
13.1,2,107.67,0.0,1
8.23,2,49.97,0.0,1
8.33,2,46.68,0.0,1
15.97,2,43.98,0.0,1
16.33,2,65.97,0.0,1
9.33,2,41.94,0.0,1
10.57,2,41.28,0.0,1
16.0,2,61.98,0.0,1
15.8,2,64.99,0.0,1
13.7,2,128.67,0.0,1
10.23,3,98.85,0.0,1
8.47,2,44.26,0.0,1
16.67,3,93.99,0.0,1
15.7,2,103.29,0.0,1
9.4,4,145.35,0.0,1
14.17,2,38.33,0.0,1
10.33,2,62.98,0.0,1
16.97,2,77.33,0.0,1
11.93,2,159.98,0.0,1
15.33,2,73.25,0.0,1
8.23,2,49.57,0.0,1
15.83,2,64.99,0.0,1
11.57,2,44.5,0.0,1
10.97,2,88.64,0.0,1
13.37,2,60.71,0.0,1
9.53,2,46.7,0.0,1
12.6,2,156.98,0.0,1
13.97,2,291.94,0.0,1
14.13,4,54.45,0.0,1
14.07,2,64.34,0.0,1
12.8,3,69.47,0.0,1
8.5,2,92.77,0.0,1
10.53,3,138.11,0.0,1
12.7,2,25.72,0.0,1
16.23,2,89.71,0.0,1
10.87,2,54.83,0.0,1
12.77,2,67.38,0.0,1
8.87,2,53.77,0.0,1
9.67,3,242.43,0.0,1
11.77,2,9.23,0.0,1
10.63,2,439.95,0.07576675,1
13.03,2,207.58,0.0,1
16.57,2,113.32,0.0,1
13.03,2,57.96,0.0,1
14.7,2,100.2,0.0,1
14.6,2,137.98,0.0,1
14.8,2,110.51,0.0,1
16.63,2,483.84,0.0,1
11.07,2,184.39,0.0,1
12.63,2,21.31,0.0,1
13.1,2,28.45,0.0,1
11.3,2,33.57,0.0,1
11.1,2,59.22,0.0,1
8.0,2,59.98,0.0,1
11.33,2,61.57,0.0,1
13.47,2,80.77,0.0,1
8.47,2,188.8,0.0,1
11.2,2,211.3,0.0,1
12.93,2,167.94,0.0,1
10.93,3,173.24,0.0,1
15.4,3,419.97,0.0,1
9.17,2,62.64,0.0,1
15.23,2,20.6,0.0,1
9.37,4,186.51,0.0,1
15.5,2,90.98,0.0,1
11.3,2,34.23,0.0,1
14.3,2,46.33,0.0,1
11.73,2,39.97,0.04548635,1
11.53,2,24.92,0.0,1
13.87,2,316.96,0.0,1
13.2,2,165.98,0.0,1
9.2,2,31.98,0.0,1
9.53,3,380.97,0.0,1
15.67,2,37.97,0.0,1
10.87,2,61.36,0.0,1
11.67,2,67.12,0.0,1
14.73,2,23.74,0.0,1
14.93,2,34.43,0.0,1
10.37,2,39.98,0.0,1
10.47,5,310.46,0.0,1
13.5,2,37.98,0.0,1
8.97,3,117.48,0.0,1
13.3,2,181.05,0.0,1
13.27,2,184.91,0.0,1
9.3,2,61.4,0.0,1
15.07,2,89.97,0.03704845,1
16.93,2,79.98,0.0,1
13.17,3,43.88,0.0,1
8.63,3,51.97,0.0,1
13.3,2,183.34,0.0,1
10.93,3,150.56,0.0502144,1
8.83,2,66.47,0.0,1
8.73,2,33.97,0.0,1
11.7,2,87.92,0.0,1
13.17,3,434.58,0.0,1
9.83,2,50.2,0.0,1
9.8,3,65.97,0.0,1
10.43,2,27.07,0.0,1
16.1,2,185.16,0.020353700000000002,1
11.27,5,188.93,0.0,1
10.77,2,36.85,0.0,1
8.2,2,43.98,0.0,1
8.5,2,74.38,0.0,1
16.5,2,69.98,0.04546635,1
13.43,2,59.96,0.0,1
8.9,2,52.58,0.0,1
13.3,2,85.56,0.0,1
8.3,4,53.43,0.0,1
11.1,3,65.38,0.0,1
9.97,2,25.48,0.02382575,1
15.23,2,96.05,0.0,1
14.07,3,191.29,0.0,1
15.27,2,109.18,0.0,1
9.43,2,279.98,0.0,1
16.03,2,157.52,0.0,1
15.3,3,83.29,0.0,1
10.1,2,31.24,0.0,1
12.8,2,41.81,0.0,1
9.23,2,86.97,0.0,1
12.87,3,168.97,0.0,1
8.5,2,55.97,0.0,1
16.5,2,128.9,0.0,1
14.03,2,48.02,0.0,1
15.67,2,114.98,0.0,1
15.33,2,82.77,0.0,1
9.53,2,25.98,0.0,1
9.43,2,84.2,0.02378255,1
16.67,3,79.68,0.0,1
10.0,2,61.5,0.0,1
10.47,2,33.35,0.0,1
15.6,2,25.98,0.0,1
12.97,4,233.93,0.051250725,1
9.0,3,125.97,0.0,1
9.07,2,69.98,0.0,1
14.0,2,61.97,0.0,1
16.5,2,58.61,0.0,1
12.43,2,72.55,0.0,1
15.9,2,220.82,0.0,1
9.43,2,115.42,0.0,1
11.1,2,43.68,0.0,1
9.23,2,43.97,0.0,1
10.0,2,67.98,0.0,1
8.6,2,119.98,0.0,1
12.47,2,191.96,0.12489395,1
9.27,2,48.44,0.0,1
14.27,2,63.96,0.0,1
14.93,2,55.38,0.0,1
14.5,2,55.95,0.0,1
16.53,2,58.57,0.0,1
9.97,2,64.92,0.0,1
12.1,4,369.93,0.0,1
12.7,2,27.98,0.0,1
14.8,2,176.97,0.0,1
12.03,2,162.89,0.0,1
12.93,2,147.67,0.0,1
11.23,3,242.07,0.01586926667,1
16.03,3,242.93,0.00339823333,1
11.3,2,87.96,0.0,1
8.77,2,62.81,0.0,1
9.1,2,48.95,0.0,1
16.83,2,121.11,0.0,1
8.83,2,44.0,0.0,1
15.5,2,281.98,0.0,1
11.83,2,50.77,0.0,1
13.67,3,48.97,0.0,1
9.6,3,344.97,0.0,1
13.67,4,154.62,0.0,1
16.03,2,104.98,0.0,1
11.67,2,28.08,0.0,1
12.0,2,47.83,0.0,1
9.97,2,71.4,0.0,1
15.57,3,276.56,0.01533133333,1
14.03,2,27.17,0.1053894,1
16.5,2,133.1,0.0,1
9.3,2,25.01,0.0,1
16.2,2,94.95,0.0,1
12.1,2,47.98,0.0238166,1
11.13,2,45.55,0.0,1
12.93,2,12.98,0.0,1
9.17,2,109.34,0.0,1
12.07,2,59.98,0.0,1
12.5,2,25.24,0.0,1
12.5,2,183.47,0.0,1
12.27,2,166.82,0.0,1
15.63,2,129.94,0.0,1
15.9,2,173.88,0.0,1
16.97,2,229.66,0.041841,1
12.27,2,54.89,0.0,1
12.87,2,387.76,0.0,1
16.4,2,26.46,0.0,1
9.93,2,42.4,0.0,1
11.13,2,109.26,0.0,1
14.13,2,179.96,0.0,1
16.6,2,43.97,0.0,1
16.53,2,78.5,0.0,1
14.47,2,54.74,0.0,1
15.3,2,34.56,0.0,1
13.03,2,72.05,0.0,1
16.2,2,84.36,0.0,1
12.7,3,525.89,0.0,1
10.57,2,74.95,0.0,1
15.5,2,183.96,0.0,1
15.63,2,310.14,0.03060535,1
8.97,2,36.94,0.06524105,1
11.67,2,59.98,0.0,1
10.83,2,439.98,0.0,1
10.17,2,26.97,0.0,1
11.1,2,56.97,0.0,1
11.6,2,9.12,0.0,1
10.63,2,137.52,0.0980905,1
15.9,3,34.5,0.0,1
11.93,2,48.98,0.0,1
17.0,3,165.93,0.0,1
13.43,2,184.86,0.0,1
10.47,2,43.18,0.0,1
12.4,2,22.8,0.0,1
9.6,3,152.82,0.0,1
16.87,2,23.42,0.0,1
16.87,2,290.72,0.0,1
16.3,2,28.48,0.0,1
9.37,2,233.53,0.0,1
11.3,2,33.06,0.0,1
13.6,2,36.79,0.0,1
8.77,2,70.98,0.0,1
12.87,2,249.98,0.05357525,1
11.9,2,70.12,0.0,1
15.23,2,163.54,0.0,1
9.23,2,89.99,0.0,1
11.43,2,27.98,0.0,1
13.77,4,153.69,0.0,1
9.0,2,63.75,0.0,1
13.8,3,54.97,0.0,1
13.8,2,38.4,0.0,1
11.03,2,72.89,0.0,1
13.7,2,21.6,0.0,1
9.43,2,84.18,0.0,1
14.87,2,202.45,0.0,1
11.3,2,71.93,0.0,1
13.53,2,110.93,0.0,1
11.97,4,359.96,0.0,1
14.4,2,101.64,0.0,1
10.13,2,19.52,0.0,1
15.97,2,91.92,0.0,1
11.07,3,163.46,0.0,1
14.57,2,23.74,0.0,1
15.27,2,194.98,0.0,1
11.97,3,45.56,0.0,1
16.03,2,156.56,0.0,1
12.1,2,73.96,0.0,1
9.43,2,523.98,0.0,0
12.2,2,49.98,0.0,1
10.9,2,102.82,0.0,1
15.73,2,311.54,0.0,1
11.73,2,52.97,0.0,1
14.47,2,219.84,0.0,1
8.37,4,62.71,0.0,1
12.43,2,32.62,0.0,1
9.67,2,32.98,0.0,1
9.77,2,64.97,0.0,1
13.27,2,60.23,0.0,1
13.43,3,94.96,0.01587636667,1
9.67,2,78.62,0.11225095,1
12.57,2,59.98,0.0,1
8.43,2,55.64,0.04552175,1
16.47,2,19.78,0.0,1
13.27,2,30.18,0.0,1
12.6,2,37.95,0.0,1
10.33,2,25.98,0.0,1
13.9,2,251.28,0.0,1
15.07,2,391.59,0.0,1
16.63,2,144.94,0.0,1
12.33,2,72.97,0.0,1
13.4,2,46.39,0.0,1
14.67,2,136.75,0.0,1
10.73,2,59.98,0.0,1
12.93,2,31.98,0.045480400000000004,1
9.93,2,39.98,0.0,1
16.67,2,105.54,0.0,1
15.83,2,19.8,0.0,1
16.0,2,148.66,0.04545855,1
17.03,2,56.98,0.0,1
11.4,2,56.98,0.0,1
13.3,2,170.63,0.0,1
11.97,2,59.55,0.0,1
16.6,2,62.1,0.0,1
16.67,2,47.42,0.0,1
10.77,2,111.15,0.0,1
9.83,2,60.97,0.040253,1
10.4,2,188.98,0.0,1
10.33,2,234.98,0.0,1
16.73,2,41.94,0.0,1
12.3,2,37.01,0.0,1
10.77,2,69.98,0.0909327,1
8.77,2,63.98,0.0,1
16.67,2,91.79,0.03846915,1
16.1,2,97.83,0.0,1
9.23,2,55.97,0.0,1
13.37,4,310.49,0.0,1
9.27,2,92.49,0.0,1
10.0,4,159.41,0.018669775,1
17.0,2,56.94,0.0,1
10.7,2,32.88,0.0,1
9.4,2,555.96,0.0,0
15.93,2,201.4,0.06522130000000001,1
12.8,2,45.98,0.0,1
10.43,2,39.98,0.0,1
13.87,2,51.13,0.0,1
16.7,2,57.21,0.0,1
12.4,3,71.23,0.0,1
14.6,2,129.96,0.0,1
13.07,2,62.47,0.0,1
13.27,4,218.95,0.001721075,1
14.03,2,25.98,0.0,1
15.57,2,94.62,0.0,1
15.4,2,82.42,0.0,1
13.67,2,100.78,0.0,1
9.5,2,45.56,0.1079174,1
8.13,2,51.76,0.0,1
8.93,2,52.04,0.0,1
14.4,2,116.97,0.0,1
8.97,2,40.81,0.0,1
14.37,2,218.65,0.0,1
15.23,2,229.98,0.0,1
13.93,2,231.78,0.0,1
16.37,2,70.47,0.02452995,1
13.63,2,87.94,0.0,1
13.63,2,194.52,0.0,1
12.9,2,83.94,0.0909682,1
12.77,2,15.96,0.0,1
9.83,2,409.9,0.0465472,1
10.07,2,19.98,0.0,1
12.67,2,59.39,0.0,1
16.13,2,47.2,0.0,1
9.63,2,123.95,0.0,1
12.67,2,127.96,0.0,1
10.57,2,110.96,0.0,1
15.43,2,158.87,0.0915972,1
16.73,2,43.11,0.0,1
14.13,2,68.74,0.0,1
10.87,2,185.97,0.0,1
13.83,2,116.06,0.0,1
8.17,2,59.99,0.0,1
15.13,2,179.94,0.0,1
11.7,2,179.36,0.0,1
9.0,2,31.31,0.0,1
9.3,2,96.12,0.0,1
9.5,2,201.27,0.0,1
11.33,2,37.13,0.0,1
15.67,2,120.45,0.051572800000000016,1
9.7,2,64.9,0.0,1
10.17,2,143.82,0.0,1
12.6,2,56.97,0.04972765,1
8.1,2,27.12,0.0,1
13.03,2,135.98,0.0,1
9.17,2,79.97,0.0283108,1
11.33,2,82.98,0.05212575,1
15.07,2,57.98,0.0,1
9.6,2,85.97,0.0,1
16.53,2,300.83,0.0,1
13.03,2,51.56,0.0,1
16.7,2,43.35,0.0476611,1
11.67,2,109.31,0.0,1
9.4,2,19.98,0.0,1
11.53,2,129.43,0.00208985,1
15.9,2,140.43,0.022228499999999998,1
14.07,2,124.2,0.0,1
11.3,2,295.98,0.0,1
13.17,3,53.78,0.0,1
13.53,2,82.84,0.0,1
10.57,2,61.84,0.0,1
10.2,2,32.87,0.0,1
11.33,2,63.27,0.0,1
13.1,2,73.41,0.0,1
15.67,2,19.98,0.0,1
10.13,2,110.23,0.1060835,1
9.5,4,228.91,0.032428375,1
15.37,2,59.97,0.0,1
16.5,2,57.63,0.0,1
16.37,3,419.32,0.0,1
8.9,2,72.97,0.0,1
15.43,2,109.18,0.0,1
13.93,2,335.19,0.0,1
10.47,2,73.71,0.0,1
8.8,2,70.59,0.0,1
8.47,2,203.68,0.0,1
11.17,2,129.98,0.0,1
10.63,2,56.98,0.0,1
13.17,3,400.95,0.0,1
9.93,2,19.98,0.0,1
16.43,2,302.96,0.0,1
9.27,2,38.97,0.0,1
9.6,2,207.96,0.0,1
13.0,2,65.54,0.0286265,1
12.4,3,141.96,0.0,1
12.57,2,703.98,0.01180245,1
16.43,2,49.2,0.0,1
15.57,2,141.21,0.0,1
16.13,2,357.79,0.0,1
8.67,2,179.97,0.0430468,1
11.43,2,151.96,0.0,1
15.17,2,231.98,0.0,1
12.27,2,115.96,0.0,1
14.27,2,57.98,0.0,1
11.03,2,179.79,0.0,1
10.4,2,86.06,0.0,1
12.1,2,27.98,0.1250782,1
8.67,2,209.46,0.0,1
15.4,2,93.52,0.0,1
14.63,2,103.57,0.0,1
13.07,2,11.98,0.0,1
9.07,2,44.47,0.0,1
10.0,2,31.98,0.0,1
15.3,2,120.1,0.0,1
15.47,2,118.0,0.0,1
15.07,2,59.98,0.0,1
16.0,2,144.74,0.0,1
12.93,2,325.38,0.0,1
16.6,2,117.47,0.0,1
11.77,2,107.48,0.0,1
14.8,2,78.44,0.0,1
12.93,2,70.22,0.0,1
16.73,2,248.97,0.01724255,1
13.4,2,134.72,0.0,1
8.9,2,52.03,0.0,1
15.23,2,242.79,0.0,1
9.6,2,80.8,0.0,1
9.73,3,194.96,0.0,1
15.47,2,38.06,0.0,1
11.4,2,78.21,0.0,1
14.97,4,216.96,0.0,1
16.6,2,43.98,0.0,1
16.5,2,33.57,0.0,1
9.17,2,59.24,0.0,1
9.87,2,35.87,0.0,1
15.23,2,134.56,0.0,1
9.27,2,35.29,0.0,1
9.13,2,40.98,0.0,1
17.07,2,38.98,0.0,1
10.77,3,137.54,0.0,1
9.77,3,216.87,0.0,1
11.07,2,168.58,0.0,1
12.0,4,65.46,0.0,1
12.17,2,86.83,0.0,1
12.7,2,18.24,0.0,1
13.4,3,193.11,0.0,1
15.47,3,615.29,0.0,1
9.83,2,153.95,0.0,1
14.63,3,46.17,0.08258396667000001,1
16.87,3,20.97,0.0,1
12.57,2,126.57,0.0,1
14.8,2,59.98,0.0,1
16.63,2,39.98,0.08336805,1
15.83,2,110.64,0.0,1
8.5,3,142.97,0.0,1
15.33,2,116.46,0.0,1
8.37,2,45.36,0.04189945,1
8.57,2,67.88,0.0,1
12.43,2,80.97,0.0,1
16.0,2,58.78,0.0,1
8.87,2,40.17,0.0,1
13.63,2,51.98,0.04547045,1
9.6,2,125.98,0.0,1
11.57,2,37.96,0.0,1
14.4,2,93.15,0.0,1
9.9,4,39.96,0.0,1
9.83,2,53.93,0.04652195,1
13.53,2,686.34,0.0,1
10.33,2,33.28,0.0,1
14.1,2,91.96,0.0,1
14.3,2,35.64,0.0,1
13.03,2,21.54,0.0,1
9.8,2,41.96,0.0,1
13.17,2,40.9,0.0,1
12.1,2,31.98,0.0,1
11.6,2,319.97,0.0,1
15.27,2,36.38,0.0,1
12.07,3,84.97,0.0,1
15.03,2,178.88,0.0,1
9.13,2,42.94,0.0,1
13.0,2,274.24,0.0,1
14.7,2,243.97,0.0,1
11.57,2,62.44,0.0,1
16.53,2,105.81,0.0,1
14.53,2,51.98,0.0,1
13.43,2,406.79,0.00814395,1
11.23,2,31.98,0.0,1
10.4,2,58.84,0.0,1
12.2,2,9.34,0.0,1
15.97,2,79.98,0.0,1
14.43,2,31.98,0.0,1
15.1,2,51.98,0.0,1
9.27,2,25.03,0.0,1
14.5,2,79.98,0.0,1
9.73,2,19.99,0.0,1
13.63,2,152.98,0.0,1
13.67,2,38.97,0.0,1
13.67,3,75.28,0.0,1
9.63,3,122.96,0.0,1
10.33,2,43.9,0.0,1
9.87,2,106.97,0.0,1
16.37,2,63.26,0.0,1
14.2,2,290.65,0.0,1
10.73,2,41.94,0.0,1
16.03,2,97.98,0.0,1
13.67,3,127.97,0.0,1
17.0,2,47.98,0.0,1
13.37,2,182.94,0.0,1
9.23,2,52.94,0.0,1
10.9,2,36.44,0.0,1
14.37,2,162.36,0.0,1
12.8,2,56.98,0.0,1
12.93,2,61.55,0.0,1
11.07,2,105.02,0.0,1
13.47,2,576.24,0.0,1
15.3,2,269.9,0.0476359,1
11.73,3,95.2,0.0,1
8.67,2,76.98,0.0,1
8.97,2,39.98,0.0,1
16.73,2,118.98,0.0,1
9.37,2,30.66,0.0,1
8.3,2,35.98,0.0,1
9.07,2,57.0,0.0,1
16.3,3,41.94,0.0,1
10.57,2,261.84,0.0,1
13.5,2,40.88,0.0,1
12.27,2,98.28,0.0,1
9.9,2,15.99,0.0,1
14.2,2,54.34,0.0,1
15.43,2,59.43,0.0,1
14.23,2,76.04,0.0,1
12.23,2,146.6,0.0,1
8.9,2,191.38,0.0,1
11.53,2,208.98,0.0,1
12.4,2,50.23,0.0,1
7.97,2,56.37,0.0,1
11.67,2,69.38,0.0,1
16.6,2,60.25,0.0,1
14.17,2,97.62,0.0,1
10.2,2,265.98,0.0,1
11.0,2,81.83,0.0,1
12.03,2,134.54,0.0,1
12.97,4,518.8,0.0,1
13.83,2,74.36,0.0,1
13.5,2,404.97,0.0,1
8.23,2,64.76,0.0,1
10.4,2,116.98,0.0,1
12.27,2,63.96,0.0,1
14.8,2,65.98,0.0,1
13.47,2,66.97,0.0,1
10.77,2,43.83,0.0,1
8.9,2,49.95,0.0,1
13.13,2,24.44,0.0,1
9.27,3,44.97,0.0,1
16.03,2,73.45,0.0,1
16.5,2,77.31,0.0,1
16.37,2,330.97,0.0,1
13.97,2,103.98,0.0,1
9.9,2,16.98,0.04551365,1
16.77,2,422.96,0.0,1
13.0,2,86.98,0.0,1
10.4,2,77.97,0.0,1
9.37,2,19.98,0.0,1
13.83,2,163.43,0.0,1
9.0,2,46.98,0.0,1
13.83,2,23.57,0.0,1
8.33,2,67.97,0.0,1
13.37,2,187.95,0.0,1
10.77,3,41.97,0.0,1
12.6,2,27.98,0.0,1
13.83,3,192.95,0.0019052,1
15.17,3,59.97,0.0,1
13.17,3,43.57,0.015881899999999997,1
16.93,2,160.43,0.0,1
11.1,2,26.18,0.0,1
15.9,2,37.97,0.0,1
14.4,2,85.98,0.0,1
8.5,2,93.98,0.047628699999999996,1
16.2,2,43.74,0.0,1
14.1,4,127.94,0.0,1
8.77,2,62.39,0.0,1
12.33,2,36.29,0.0,1
9.87,2,37.67,0.0,1
11.37,2,111.98,0.0,1
10.73,2,65.98,0.0,1
11.63,2,59.98,0.0,1
12.3,2,23.38,0.0,1
12.67,2,48.97,0.0,1
10.37,2,19.98,0.0,1
14.37,2,419.94,0.0476255,1
9.3,3,212.92,0.0,1
11.7,2,65.99,0.0,1
15.53,2,82.56,0.0,1
12.63,3,137.95,0.015878633330000003,1
9.23,2,91.14,0.0909635,1
11.27,2,79.98,0.0,1
11.07,2,87.98,0.02381335,1
8.53,2,231.98,0.0,1
14.7,2,53.23,0.0,1
14.53,2,144.32,0.0,1
12.07,2,38.19,0.0,1
13.8,2,61.28,0.0,1
11.23,2,24.78,0.0,1
13.9,2,90.87,0.0,1
15.07,3,32.97,0.0,1
10.0,2,83.7,0.0,1
14.33,3,71.96,0.0,1
8.43,2,74.92,0.0,1
9.63,2,76.96,0.0,1
14.73,2,98.97,0.0,1
8.73,2,160.0,0.0,1
9.5,2,87.98,0.0,1
9.23,2,479.98,0.0,0
10.7,2,209.88,0.0,1
16.13,2,43.66,0.0,1
16.47,2,121.85,0.0,1
9.53,2,217.92,0.09083250000000001,1
10.27,2,222.0,0.0,1
15.07,2,79.96,0.0,1
15.8,2,79.88,0.0,1
13.8,3,333.94,0.0,1
13.6,2,38.39,0.0,1
13.6,5,94.94,0.0,1
12.53,3,62.95,0.0,1
13.0,2,61.98,0.0,1
